asin,url,image_url
B0DS5VY2PH,https://www.amazon.com/Colorful-Educational-Learning-Birthday-Christmas/dp/B0DS5VY2PH,https://m.media-amazon.com/images/I/71nWZyuyqgL.jpg
B0DY8174GY,https://www.amazon.com/VTech-80-586104-Stitch-Learning-Tablet/dp/B0DY8174GY,https://m.media-amazon.com/images/I/81e76rJkzcL.jpg
B0DGPJNPS3,https://www.amazon.com/TIQUS-Writing-Tablet-Ewriter-Electronic/dp/B0DGPJNPS3,https://m.media-amazon.com/images/I/611wsWmjA7L.jpg
B0CVVQJLWF,https://www.amazon.com/Colorful-Erasable-Electronic-LEYAOYAO-Educational/dp/B0CVVQJLWF,https://m.media-amazon.com/images/I/81fEXeCB2qL.jpg
B08V8DC7SG,https://www.amazon.com/VTech-PAW-Patrol-Learning-Tablet/dp/B08V8DC7SG,https://m.media-amazon.com/images/I/81voGukBJkS.jpg
B083BG4MXC,https://www.amazon.com/Bravokids-Writing-Electronic-Educational-Birthday/dp/B083BG4MXC,https://m.media-amazon.com/images/I/71yP4oipQYL.jpg
B0DLF9S4QP,https://www.amazon.com/Writing-Erasable-Reusable-Electronic-scratchpad/dp/B0DLF9S4QP,https://m.media-amazon.com/images/I/618pz9ZS1RL.jpg
B09JSP7CKX,https://www.amazon.com/Writing-Electronic-Colorful-Erasable-Reusable/dp/B09JSP7CKX,https://m.media-amazon.com/images/I/81WdgVmbe+L.jpg
B0DBPF157K,https://www.amazon.com/hahaland-Learning-Trilingual-Montessori-Screen-Free/dp/B0DBPF157K,https://m.media-amazon.com/images/I/81bWq8AEWBL.jpg
B00K89K5TO,https://www.amazon.com/VTech-Light-Up-Touch-Tablet-Orange/dp/B00K89K5TO,https://m.media-amazon.com/images/I/913bEPk5+UL.jpg
B0D4LMG3LS,https://www.amazon.com/Amoretti-Sonnet-14-3inch-Foldable-Writing/dp/B0D4LMG3LS,https://m.media-amazon.com/images/I/71xycrrr9OL.jpg
B0F7LQXJ7B,https://www.amazon.com/Zonon-Electronic-Educational-Learning-Preschool/dp/B0F7LQXJ7B,https://m.media-amazon.com/images/I/815TjGuKXoL.jpg
B0B87XHJX8,https://www.amazon.com/Writing-Tablet-Colorful-Drawing-Electronic/dp/B0B87XHJX8,https://m.media-amazon.com/images/I/71hP+BuvRaL.jpg
B09BGF2HSB,https://www.amazon.com/Amazing-Preschool-Learning-Educational-Toddlers/dp/B09BGF2HSB,https://m.media-amazon.com/images/I/81N+2NCmDlL.jpg
B0BYCVW5YN,https://www.amazon.com/Genialba-Colorful-Learning-Educational-Electronic/dp/B0BYCVW5YN,https://m.media-amazon.com/images/I/81aWHdRhZnL.jpg
B0CH9MXY9B,https://www.amazon.com/LEXiBOOK-Amazing-Friends-Bilingual-Learning/dp/B0CH9MXY9B,https://m.media-amazon.com/images/I/91c0K9-PwhL.jpg
B0FLDNG4YT,https://www.amazon.com/Learning-Toddlers-Trilingual-Montessori-Educational/dp/B0FLDNG4YT,https://m.media-amazon.com/images/I/71-0Ms6Y6NL.jpg
B07661J1HX,https://www.amazon.com/LeapFrog-First-Learning-Tablet-Black/dp/B07661J1HX,https://m.media-amazon.com/images/I/810NQoiYQTL.jpg
B09TXBLK26,https://www.amazon.com/Colorful-Scribbler-Erasable-Electronic-Reusable/dp/B09TXBLK26,https://m.media-amazon.com/images/I/81ou06cOFqL.jpg
B0BQHDNDJM,https://www.amazon.com/Electronic-Colorful-Erasable-Educational-Learning/dp/B0BQHDNDJM,https://m.media-amazon.com/images/I/81UhjABUSCL.jpg
B0BY2G6DLX,https://www.amazon.com/Colorful-Rechargeable-Educational-Reusable-Christmas/dp/B0BY2G6DLX,https://m.media-amazon.com/images/I/71usu9b+OWL.jpg
B0B76Z26MY,https://www.amazon.com/TECJOE-Colorful-Electronic-Activity-3-6-Year-Old/dp/B0B76Z26MY,https://m.media-amazon.com/images/I/71lGVL+YxuL.jpg
B0D9MVLP7L,https://www.amazon.com/Fisher-Price-Learning-Puppys-Storytime-Pretend/dp/B0D9MVLP7L,https://m.media-amazon.com/images/I/71d+vOY0u4L.jpg
B0FDJQQ38B,https://www.amazon.com/KOKODI-Colorful-Erasable-Electronic-Educational/dp/B0FDJQQ38B,https://m.media-amazon.com/images/I/719ByiZLJmL.jpg
B09FP6N2W9,https://www.amazon.com/Tripod-Adjustable-Rotating-4-5-12-9-Tablets/dp/B09FP6N2W9,https://m.media-amazon.com/images/I/51ta6uXxM+L.jpg
B0FHKNRKLJ,https://www.amazon.com/Rechargeable-Colorful-Educational-Reusable-Christmas/dp/B0FHKNRKLJ,https://m.media-amazon.com/images/I/71cmIg-0-zL.jpg
B07THCY3KB,https://www.amazon.com/FLUESTON-Electronic-Learning-Birthday-Stuffers/dp/B07THCY3KB,https://m.media-amazon.com/images/I/818pv2ULzBL.jpg
B0CHXZYNY2,https://www.amazon.com/Qiaojoy-Learning-Educational-Toddlers-Alphabets/dp/B0CHXZYNY2,https://m.media-amazon.com/images/I/81UuwBcvkhL.jpg
